Ref,Val,Package,PosX_mm,PosY_mm,GlobalX_mm,GlobalY_mm,Rot_deg,Side,Universe,Channel
LED79,SK6812,LED5050,0.01,384.54,15.71,599.79,1.5,top,2,489
LED80,SK6812,LED5050,31.38,382.90,47.08,598.15,4.5,top,2,493
LED81,SK6812,LED5050,62.62,379.62,78.32,594.87,7.5,top,2,497
LED82,SK6812,LED5050,93.64,374.70,109.34,589.95,10.5,top,2,501
LED83,SK6812,LED5050,124.37,368.17,140.07,583.42,13.5,top,2,505
LED84,SK6812,LED5050,154.71,360.04,170.41,575.29,16.5,top,2,509
LED85,SK6812,LED5050,184.59,350.34,200.28,565.58,19.5,top,3,1
LED86,SK6812,LED5050,213.91,339.08,229.61,554.33,22.5,top,3,5
LED87,SK6812,LED5050,242.61,326.30,258.31,541.55,25.5,top,3,9
LED88,SK6812,LED5050,270.60,312.04,286.30,527.29,28.5,top,3,13
LED89,SK6812,LED5050,284.91,338.41,300.61,553.65,28.5,top,3,17
LED90,SK6812,LED5050,255.53,353.38,271.22,568.63,25.5,top,3,21
LED91,SK6812,LED5050,225.39,366.79,241.09,582.04,22.5,top,3,25
LED92,SK6812,LED5050,194.60,378.61,210.30,593.86,19.5,top,3,29
LED93,SK6812,LED5050,163.23,388.81,178.93,604.06,16.5,top,3,33
LED94,SK6812,LED5050,131.37,397.34,147.07,612.59,13.5,top,3,37
LED95,SK6812,LED5050,99.11,404.20,114.81,619.45,10.5,top,3,41
LED96,SK6812,LED5050,66.53,409.36,82.23,624.61,7.5,top,3,45
LED97,SK6812,LED5050,33.73,412.81,49.43,628.06,4.5,top,3,49
LED98,SK6812,LED5050,0.79,414.53,16.49,629.78,1.5,top,3,53
LED99,SK6812,LED5050,0.01,444.56,15.71,659.81,1.4,top,3,57
LED100,SK6812,LED5050,31.39,443.07,47.08,658.32,4.1,top,3,61
LED101,SK6812,LED5050,62.66,440.08,78.35,655.33,6.8,top,3,65
LED102,SK6812,LED5050,93.75,435.61,109.45,650.86,9.5,top,3,69
LED103,SK6812,LED5050,124.60,429.67,140.29,644.92,12.3,top,3,73
LED104,SK6812,LED5050,155.12,422.26,170.82,637.51,15.0,top,3,77
LED105,SK6812,LED5050,185.26,413.41,200.96,628.66,17.7,top,3,81
LED106,SK6812,LED5050,214.95,403.14,230.65,618.39,20.5,top,3,85
LED107,SK6812,LED5050,244.11,391.46,259.81,606.71,23.2,top,3,89
LED108,SK6812,LED5050,272.69,378.41,288.38,593.66,25.9,top,3,93
LED109,SK6812,LED5050,300.61,364.02,316.30,579.27,28.6,top,3,97
